abandoned	заброшенный
pit	яма, партер (не dig)
pizza	пицца
place	место
placing	размещение
plainly	явно (не clearly, obvious) 
plains	равнины 
plain	ясный, очевидный, равнина
planes	самолеты (от plane)
planets	планеты 
planet	планета
plane	самолет
plane	самолет
plank	доска
planned	плановый
planning	планирование
plans	планы (от plan)
plantation	плантация
plants	заводы(растения) 
plant	завод, растение, сажать, внедрять, посадить
plan	план, планировать
plaster	пластырь, штукатурка, штукатурить
plastic	пластмасса, пластичный
plates	тарелки (от plate)
plate	тарелка
plate	тарелка
platforms	платформы 
platform	платформа
played	играл (от play)
player	плейер, игрок
playing	играющий (от play)
plays	играет (от play)
