a barber; hairdressing	理发 lǐ fà 
local; in the locality	当地 dāng dì 
(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress)	在 zài 
location; place	场所 chǎng suǒ 
locomotive; motorized; power-driven; adaptable; flexible (use, treatment, timing etc)	机动 jī dòng 
lofty quality; mettle; spirit	气概 qì gài 
logic (loanword)	逻辑 luó ji 
logistics	后勤 hòu qín 
lonely; lonesome	寂寞 jì mò 
lonely; solitary	孤独 gū dú 
long distance	长途 cháng tú 
long; length	长 cháng 
(long) time; (long) duration of time	久 jiǔ 
looking for employment; getting a job; to start a career	就业 jiù yè 
(look) like; similar (to); appearance; to appear; to seem; image; portrait; resemble; seem	像 xiàng 
look; style; appearance; approximation; about; CL:个	模样 mú yàng 
lord; nobility; nobleman; noblewoman; aristocrat; aristocracy	贵族 guì zú 
lose heart; be discouraged	灰心 huī xīn 
loss; damage; CL:个; to lose; to damage	损失 sǔn shī 
lottery ticket	彩票 cǎi piào 
loud and clear; resounding	响亮 xiǎng liàng 
low; beneath; to lower (one's head); to let droop; to hang down; to incline	低 dī 
low; short (in length)	矮 ǎi 
luck (good or bad)	运气 yùn qi 
luckily; by a fluke;	侥幸 jiǎo xìng 
lucky; auspicious; propitious	吉祥 jí xiáng 
lung; CL:个	肺 fèi 
lush	茂盛 mào shèng 
luster; splendor; radiance; brilliance	光彩 guāng cǎi 
luxuriant growth (idiom); flourishing; thriving	欣欣向荣 xīn xīn xiàng róng 
luxurious; extravagant; wasteful	奢侈 shē chǐ 
luxurious	豪华 háo huá 
-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct;	地 de 
machine; CL:台[tai2] ,部[bu4] ,个	机器 jī qì 
machine; machinery; mechanical	机械 jī xiè 
macro-; macroscopic; holistic	宏观 hóng guān 
magazine; CL:本[ben3] ,份[fen4] ,期[qi1]	杂志 zá zhì 
magical; mystical; miraculous	神奇 shén qí 
magic	魔术 mó shù 
magnetic tape; CL:盘[pan2] ,盒[he2]	磁带 cí dài 
magnificence; magnificent; majestic; glorious	壮丽 zhuàng lì 
main point; essential	要点 yào diǎn 
main; principal; major; primary	主要 zhǔ yào 
mainstay; pillar; prop; backbone	支柱 zhī zhù 
main stream (of a river); fig. the essential point; main viewpoint of a matter	主流 zhǔ liú 
maintenance (of equipment); to protect and maintain	维修 wéi xiū 
majestic; sublime	崇高 chóng gāo 
(make an) exception	例外 lì wài 
make the decision; take charge of; back up; support; be host	做主 zuò zhǔ 
malady; evil; malpractice; drawback; disadvantage	弊病 bì bìng 
male and female	雌雄 cí xióng 
male; Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; CL:個|个[ge4];	男 nán 
malfunction; breakdown; defect; shortcoming; fault; failure; impediment; error; bug (in software)	故障 gù zhàng 
malpractice; abuse; corrupt practice	弊端 bì duān 
manager; director; CL:个,位[wei4] ,名[ming2]	经理 jīng lǐ 
Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech	普通话 pǔ tōng huà 
manner; air; looks; aspect	样子 yàng zi 
manner; bearing; attitude; approach; CL:个	态度 tài du 
man; person; people; CL:个[ge4] ,位[wei4]	人 rén 
man's world; the world	人间 rén jiān 
(manufacturing, production etc) costs	成本 chéng běn 
many; much; a lot of; numerous; multi-	多 duō 
map; CL:张[zhang1] ,本[ben3]	地图 dì tú 
marginal notes; annotation; to annotate; to add comments to text	注释 zhù shì 
market place; market (also in abstract); abbr. for 超级市场 supermarket; CL:个	市场 shì chǎng 
mark; indication; sign; indicator	迹象 jì xiàng 
married woman; Mrs.; Madam; wife; CL:个,位[wei4]	太太 tài tai 
marsh; swamp; wetlands; glade	沼泽 zhǎo zé 
martial art; military skill or technique (in former times); all kinds of martial art sports (some claiming spiritual development); self-defense; tradition of choreographed fights from opera and film (recent usage); also called kungfu 功夫; CL:种[zhong3]	武术 wǔ shù 
martial arts chivalry (Chinese literary, theatrical and cinema genre); knight-errant	武侠 wǔ xiá 
massage	按摩 àn mó 
mass; multitude; the masses	群众 qún zhòng 
master; host; owner; CL:个	主人 zhǔ rén 
master; qualified worker; respectful form of address for older men; CL:个,位[wei4] ,名[ming2]	师傅 shī fu 
master's degree; learned person	硕士 shuò shì 
match (for lighting fire); CL:根[gen1] ,盒[he2]	火柴 huǒ chái 
matching; fitting in with; compatible with; to correspond; to fit; to conform to; rapport; to coordinate with; to act in concert with; to cooperate; to become man and wife; to combine parts of machine	配合 pèi hé 
matchless	无比 wú bǐ 
material; data; makings; stuff; CL:个,种[zhong3]	材料 cái liào 
material; resources; data; information; profile (Internet); CL:份[fen4] ,个	资料 zī liào 
(material) welfare; well-being	福利 fú lì 
maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:个	阿姨 ā yí 
(mathematical) operation	运算 yùn suàn 
mathematics; mathematical	数学 shù xué 
matrimony; wedding; marriage; CL:次[ci4]	婚姻 hūn yīn 
matter; item	事项 shì xiàng 
matter; substance; material; materialistic; CL:个	物质 wù zhì 
mature; ripe	成熟 chéng shú 
meaning; content; essential properties implied or reflected by a notion; intention; connotation; self-possessed	内涵 nèi hán 
meaning (implicit in a phrase); implied meaning; hidden meaning; hint; connotation	含义 hán yì 
meaning; significance; CL:个	意义 yì yì 
means; method; way (of doing sth); CL:条[tiao2] ,个	办法 bàn fǎ 
measure; step (to be taken); CL:个	措施 cuò shī 
meat, fish; strong-smelling vegetable (garlic etc); non-vegetarian food (meat, fish, spicy food etc); vulgar; obscene;	荤 hūn 
mechanism; structure; organization; agency; institution; CL:所[suo3]	机构 jī gòu 
media, esp. news media	媒体 méi tǐ 
media; medium	媒介 méi jiè 
medicine; drug; cure; CL:种[zhong3] ,服[fu4]	药 yào 
medicine; 'internal' medicine, i.e. treatment by administering drugs, as opposed to surgical intervention; medical department	内科 nèi kē 
mediocre; indifferent; commonplace	平庸 píng yōng 
meeting; conference; CL:场[chang3] ,届[jie4]	会议 huì yì 
melody; rhythm	旋律 xuán lv4 
member	成员 chéng yuán 
membrane; film	膜 mó 
memorandum; aide-memoire; memorandum book	备忘录 bèi wàng lù 
memories; remember; memory; CL:个	记忆 jì yì 
memory; recall	记性 jì xing 
mental; psychological	心理 xīn lǐ 
menu; CL:份[fen4] ,张[zhang1]	菜单 cài dān 
merciless; ruthless; cruel; mean	残忍 cán rěn 
merit; benefit; strong point; advantage; CL:个	优点 yōu diǎn 
metabolism (biology); the new replaces the old (idiom)	新陈代谢 xīn chén dài xiè 
metal; CL:种[zhong3]	金属 jīn shǔ 
meteorological feature; CL:个; meteorology; atmosphere or scene	气象 qì xiàng 
method; way; means; CL:个	方法 fāng fǎ 
m-hm (sound used to express agreement or assent)	嗯 ńg 
microphone (loanword)	麦克风 mài kè fēng 
microphone	话筒 huà tǒng 
micro-; sub-atomic	微观 wēi guān 
middle third of a month	中旬 zhōng xún 
might; awe-inspiring authority; impressive	威风 wēi fēng 
might; formidable power	威力 wēi lì 
might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:个	可能 kě néng 
milestone	里程碑 lǐ chéng bēi 
(Military) admiral; (chess) to check; to embarrass	将军 jiāng jūn 
military affairs; military matters; military	军事 jūn shì 
military campaign	战役 zhàn yì 
(military) rank; level; grade	级别 jí bié 
millimeter	毫米 háo mǐ 
mineral spring water; CL:瓶[ping2] ,杯[bei1]	矿泉水 kuàng quán shuǐ 
minerals;	矿产 kuàng chǎn 
minister (of a monarchy)	大臣 dà chén 
minutes; written summary of a meeting	纪要 jì yào 
minute; tiny; negligible; insignificant	渺小 miǎo xiǎo 
minute	分钟 fēn zhōng 
miracle; miraculous; wonder; marvel	奇迹 qí jì 
mirror; CL:面[mian4] ,个	镜子 jìng zi 
miserable; tragic	悲惨 bēi cǎn 
misgivings; apprehensions	顾虑 gù lv4 
missing; lost; unaccounted for	失踪 shī zōng 
mission; assignment; task; duty; role; CL:项[xiang4] ,个	任务 rèn wu 
mission (diplomatic or other); set task	使命 shǐ mìng 
mistake; error; blunder; fault; cross; uneven; wrong; CL:个	错 cuò 
Mister (Mr.); husband; doctor (topolect); teacher; CL:个[ge4] ,位[wei4]	先生 xiān sheng 
mobilize; arouse; CL:次[ci4] ,个	动员 dòng yuán 
modal particle ending sentence, showing affirmation, approval, or consent	啊 a 
modal particle indicating polite suggestion;...right?;...OK?	吧 ba 
(modal particle to express that something is obvious)	嘛 ma 
model; fine example	模范 mó fàn 
modeling; mold-making; model or mold; molding	造型 zào xíng 
model; mould; matrix; pattern	模型 mó xíng 
model; typical case; archetype; typical; representative	典型 diǎn xíng 
mode; method	模式 mó shì 
moderate (policy etc)	温和 wēn hé 
modern times; modern age; modern era	现代 xiàn dài 
modern times	近代 jìn dài 
modest; open-minded	虚心 xū xīn 
modest; self-effacing; to make modest remarks	谦虚 qiān xū 
moist; damp	潮湿 cháo shī 
moist; humid; to moisten; to provide moisture; comfortably off;	滋润 zī rùn 
moist	湿润 shī rùn 
moment; constantly; always; CL:个	时刻 shí kè 
moment; momentary; in a flash;	瞬间 shùn jiān 
momentum; manner; energy; look of great force or imposing manner; powerful	气势 qì shì 
momentum	声势 shēng shì 
money given to children as new year present	压岁钱 yā suì qián 
monkey; CL:只[zhi1]	猴子 hóu zi 
monotonous; uniform; unvarying	单调 dān diào 
month; moon; CL:个[ge4] ,轮[lun2]	月 yuè 
mood; frame of mind; CL:个	心情 xīn qíng 
moon	月亮 yuè liang 
moral character	品德 pǐn dé 
more and more emerge; innumerable succession; breeding like flies (idiom)	层出不穷 céng chū bù qióng 
more or less; roughly; approximately	大致 dà zhì 
moreover; besides; in addition; furthermore	况且 kuàng qiě 
moreover; furthermore; in addition; besides; and	并且 bìng qiě 
more; still more; even more	更 gèng 
morning; CL:个[ge4]	上午 shàng wǔ 
most; the most; -est	最 zuì 
mother; also pr. with light tone [mu3 qin5]; CL:个	母亲 mǔ qīn 
mother's brother; maternal uncle (informal); CL:个	舅舅 jiù jiu 
motorbike; motorcycle; CL:辆[liang4] ,部[bu4]	摩托车 mó tuō chē 
motor; locomotive; motive; motivation; intention	动机 dòng jī 
motto; maxim	座右铭 zuò yòu míng 
mountain range; CL:条[tiao2]	山脉 shān mài 
mourning; memorial (service etc)	追悼 zhuī dào 
mouse (computing)	鼠标 shǔ biāo 
mouth; beak; spout (of teapot etc); CL:张[zhang1] ,个	嘴 zuǐ 
mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc)	口 kǒu 
movement; campaign; sports; CL:场[chang3]	运动 yùn dòng 
movement; motion; action; CL:个	动作 dòng zuò 
movie; film; CL:部[bu4] ,幕[mu4] ,场[chang3]	电影 diàn yǐng 
much less; let alone	何况 hé kuàng 
muddled; silly; confused	糊涂 hú tu 
mum; mama; mommy; mother; CL:个[ge4] ,位[wei4]	妈妈 mā ma 
muscle; flesh	肌肉 jī ròu 
museum	博物馆 bó wù guǎn 
musical instrument; CL:件[jian4];	乐器 yuè qì 
music; CL:张[zhang1] ,曲[qu3] ,段[duan4]	音乐 yīn yuè 
must; to need to; to be sure to	务必 wù bì 
mutton	羊肉 yáng ròu 
mysterious; mystery	神秘 shén mì 
naive; innocent; artless	天真 tiān zhēn 
name (of a person or thing); CL:个[ge4]	名字 míng zi 
name; term of address; title	称号 chēng hào 
nanny; housekeeper	保姆 bǎo mǔ 
narrow; narrow-minded; badly off	窄 zhǎi 
narrow; tight; narrow minded; lacking in experience	狭隘 xiá ài 
narrow	狭窄 xiá zhǎi 
nasal mucus; snivel	鼻涕 bí tì 
national defense	国防 guó fáng 
nationality; ethnic group; CL:个	民族 mín zú 
nationality	国籍 guó jí 
native language; mother language	母语 mǔ yǔ 
natural gas	天然气 tiān rán qì 
natural harbor; bay serving as harbor	港湾 gǎng wān 
nature; characteristic; CL:个	性质 xìng zhì 
nature (temperament); nature; disposition; temperament; character; CL:个	性格 xìng gé 
naughty; bad	淘气 táo qì 
naughty; mischievous; unruly	调皮 tiáo pí 
nausea; to feel sick; disgust; nauseating	恶心 ě xin 
navigation	导航 dǎo háng 
nearby; in a close neighborhood	就近 jiù jìn 
near; close to; approximately	近 jìn 
near; close to	接近 jiē jìn 
neat and tidy; clean	干净 gān jìng 
necessary; essential; indispensable; required	必要 bì yào 
neck; CL:个	脖子 bó zi 
necklace	项链 xiàng liàn 
need not; (contraction of 不 and 用)	甭 béng 
negative; passive; inactive	消极 xiāo jí 
negligible; insignificant	微不足道 wēi bù zú dào 
neighbor; next door; CL:个	邻居 lín jū 
nerve	神经 shén jīng 
nervous; keyed up; intense; tense; strained; in short supply; scarce; CL:阵[zhen4]	紧张 jǐn zhāng 
nest; pit or hollow on the human body; lair; den; place; to harbor or shelter; to hold in check; to bend; classifier for litters and broods	窝 wō 
neutral	中立 zhōng lì 
new; newly; meso- (chemistry)	新 xīn 
news; CL:条[tiao2] ,个	新闻 xīn wén 
news; information; CL:条[tiao2]	消息 xiāo xi 
newspaper; newsprint; CL:份[fen4] ,期[qi1] ,张[zhang1]	报纸 bào zhǐ 
New Year's Day	元旦 yuán dàn 
(New Year's) Eve	除夕 chú xī 
next door; neighbor	隔壁 gé bì 
next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time	次 cì 
next; secondly	其次 qí cì 
nice and cold; pleasantly cool	凉快 liáng kuai 
nick; jag; gap; shortfall	缺口 quē kǒu 
night; evening	夜 yè 
nimble; quick; shrewd	敏捷 mǐn jié 
nine; 9	九 jiǔ 
nobleman; person of noble character;	君子 jūn zǐ 
nobly; lofty	高尚 gāo shàng 
noisy; clamorous	嘈杂 cáo zá 
no matter how; even; even if; even though	哪怕 nǎ pà 
no matter (what, how); regardless of; no matter	不管 bù guǎn 
no matter what or how; regardless of whether...	无论 wú lùn 
non-; not-; un-; abbr. for Africa 非洲; wrong; evil-doing; insist on; simply must	非 fēi 
nonsense; bored	无聊 wú liáo 
nonsense; rubbish; superfluous words; You don't say!; No kidding! (gently sarcastic)	废话 fèi huà 
noodles	面条 miàn tiáo 
nook; corner	角落 jiǎo luò 
noon; midday; CL:个[ge4]	中午 zhōng wǔ 
norm; index; target	指标 zhǐ biāo 
norm; standard; criterion	准则 zhǔn zé 
norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify	规范 guī fàn 
north; the northern part a country; China north of the Yellow River	北方 běi fāng 
nose; CL:个,只[zhi1]	鼻子 bí zi 
